order_id,order_reference,order_date,delivery_date,customer_id,customer_name,company,salesperson,region,country,city,product_id,product_name,product_category,product_brand,quantity,unit_price,gross_sales,discount,net_sales,tax,cost,revenue,profit,profit_margin_pct,shipping_cost,payment_method,order_status,warehouse,currency,exchange_rate,sales_channel,campaign_source,created_at
ORD-10000,REF-2023-191161,2023-11-24 03:00:00,2023-11-26,CUST-704,Customer_217,Company_9 LLC,Rep_1,Asia Pacific,Japan,Japan_City,PRD-1383,Sony Furniture Model 28,Furniture,Sony,95,162.72,15458.4,3091.68,12366.72,989.34,11700.03,13356.06,666.69,4.99,0.0,PayPal,Delivered,WH-East,USD,1.0,Retail,None,2023-11-24 02:33:00
ORD-10001,REF-2023-452944,2023-04-23 14:00:00,2023-05-04,CUST-204,Customer_48,Company_98 LLC,Rep_4,Asia Pacific,Japan,Japan_City,PRD-2470,Herman Miller Furniture Model 45,Furniture,Herman Miller,44,424.03,18657.32,0.0,18657.32,1492.59,14606.54,20149.91,4050.78,20.1,0.0,Bank Transfer,Shipped,WH-Europe,USD,1.0,Online,Referral,2023-04-23 13:54:00
ORD-10002,REF-2023-996865,2023-10-10 09:00:00,2023-10-22,CUST-338,Customer_444,Company_26 LLC,Rep_13,Asia Pacific,China,China_City,PRD-2138,Dell Furniture Model 59,Furniture,Dell,6,995.28,5971.68,298.58,5673.1,453.85,4742.04,6126.950000000001,931.06,15.2,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Retail,Email,2023-10-10 08:15:00
ORD-10003,REF-2023-330283,2023-12-16 20:00:00,2023-12-19,CUST-801,Customer_167,Company_197 LLC,Rep_2,Europe,France,France_City,PRD-1938,Sony Furniture Model 5,Furniture,Sony,60,575.39,34523.4,6904.68,27618.72,2209.5,23312.44,29828.22,4306.28,14.44,0.0,Bank Transfer,Delivered,WH-East,USD,1.0,Retail,None,2023-12-16 19:03:00
ORD-10004,REF-2023-375504,2023-06-11 06:00:00,2023-06-23,CUST-864,Customer_300,Company_110 LLC,Rep_19,Latin America,Mexico,Mexico_City,PRD-2635,Sony Software Model 47,Software,Sony,34,218.05,7413.7,1482.74,5930.96,474.48,4630.21,6405.4400000000005,1300.75,20.31,0.0,PayPal,Processing,WH-West,USD,1.0,Partner,Google Ads,2023-06-11 05:11:00
ORD-10005,REF-2023-680099,2023-01-25 03:00:00,2023-01-29,CUST-981,Customer_483,Company_3 LLC,Rep_4,Europe,France,France_City,PRD-3792,Dell Software Model 69,Software,Dell,50,578.61,28930.5,,26037.45,2083.0,17695.22,28120.45,8342.23,29.67,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Online,Email,2023-01-25 02:32:00
ORD-10006,REF-2023-308573,2023-03-22 14:00:00,2023-03-24,CUST-256,Customer_192,Company_196 LLC,Rep_6,Asia Pacific,China,China_City,PRD-3209,Dell Furniture Model 100,Furniture,Dell,81,454.68,36829.08,7365.82,29463.260000000002,2357.06,22210.33,31820.320000000003,7252.93,22.79,0.0,Credit Card,Delivered,WH-Europe,USD,1.0,Online,Google Ads,2023-03-22 13:00:00
ORD-10007,REF-2023-658582,2023-07-05 09:00:00,2023-07-10,CUST-884,Customer_65,Company_33 LLC,Rep_16,North America,USA,USA_City,PRD-4878,Dell Electronics Model 71,Electronics,Dell,94,734.13,69008.22,0.0,69008.22,5520.66,54598.88,74528.88,14409.34,19.33,0.0,PayPal,Delivered,WH-Asia,USD,1.0,Partner,Organic,2023-07-05 08:00:00
ORD-10008,REF-2023-573417,2023-10-04 23:00:00,2023-10-17,CUST-223,Customer_127,Company_58 LLC,Rep_3,Europe,France,France_City,PRD-2384,Herman Miller Office Supplies Model 3,Office Supplies,Herman Miller,86,978.32,84135.52,8413.55,75721.97,6057.76,63930.01,81779.73,11791.96,14.42,0.0,PayPal,Delivered,WH-East,USD,1.0,Online,Google Ads,2023-10-04 22:45:00
ORD-10009,REF-2023-698782,2023-02-04 01:00:00,2023-02-11,CUST-690,Customer_243,Company_63 LLC,Rep_16,North America,USA,USA_City,PRD-4307,Microsoft Office Supplies Model 53,Office Supplies,Microsoft,28,813.46,22776.88,4555.38,18221.5,1457.72,17633.99,19679.22,587.51,2.99,0.0,PayPal,Delivered,WH-Europe,USD,1.0,Direct Sales,Referral,2023-02-04 00:33:00
ORD-10010,REF-2023-246991,2023-08-28 23:00:00,2023-08-30,CUST-532,Customer_94,Company_72 LLC,Rep_15,North America,USA,USA_City,PRD-2023,IKEA Software Model 10,Software,IKEA,14,380.5,5327.0,0.0,5327.0,426.16,3273.52,5753.16,2053.48,35.69,0.0,Stripe,Shipped,WH-Asia,USD,1.0,Online,Google Ads,2023-08-28 22:18:00
ORD-10011,REF-2023-272634,2023-10-04 00:00:00,2023-10-07,CUST-488,Customer_2,Company_100 LLC,Rep_9,Europe,UK,UK_City,PRD-4795,Microsoft Software Model 59,Software,Microsoft,62,328.48,20365.76,2036.58,18329.18,1466.33,15497.88,19795.510000000002,2831.3,14.3,0.0,Bank Transfer,Delivered,WH-Asia,USD,1.0,Partner,Organic,2023-10-03 23:47:00
ORD-10012,REF-2023-632496,2023-06-01 06:00:00,2023-06-03,CUST-182,Customer_436,Company_48 LLC,Rep_3,North America,Canada,Canada_City,PRD-3437,Apple Electronics Model 9,Electronics,Apple,75,720.41,54030.75,8104.61,45926.14,3674.09,25014.78,49600.229999999996,20911.36,42.16,0.0,PayPal,Delivered,WH-Asia,USD,1.0,Retail,None,2023-06-01 05:21:00
ORD-10013,REF-2023-237235,2023-01-21 19:00:00,2023-01-24,CUST-787,Customer_331,Company_77 LLC,Rep_15,Latin America,Mexico,Mexico_City,PRD-2295,Samsung Office Supplies Model 97,Office Supplies,Samsung,86,1077.13,92633.18,0.0,92633.18,7410.65,46895.16,100043.82999999999,45738.02,45.72,0.0,Credit Card,Delivered,WH-Asia,USD,1.0,Online,Google Ads,2023-01-21 18:25:00
